code,canton,population,density
ZH,Zürich,1487969,701
BE,Bern,1026513,158
LU,Luzern,403397,233
UR,Uri,36145,33
SZ,Schwyz,155863,143
OW,Obwalden,37378,66
NW,Nidwalden,42556,138
GL,Glarus,40147,51
ZG,Zug,123948,416
FR,Fribourg,311914,141
SO,Solothurn,269441,308
BS,Basel-Stadt,198249,5072
BL,Basel-Landschaft,286848,502
SH,Schaffhausen,80769,246
AR,Appenzell-Ausserrhoden,54954,220
AI,Appenzell-Innerrhoden,16003,87
SG,St-Gallen,502552,222
GR,Graubünden,197550,26
AG,Aargau,663462,388
TG,Thurgau,270709,229
TI,Ticino,354375,110
VD,Vaud,784822,188
VS,Valais,339176,53
NE,Neuchâtel,178567,206
GE,Geneva,489524,1442
JU,Jura,73122,82
