Zürich	1458087	1729	843.3123193
Bern	1005094	5960	168.6399329
Luzern	395448	1494	264.6907631
Uri	35377	1077	32.84772516
Schwyz	153215	908	168.7389868
Obwalden	36776	491	74.90020367
Nidwalden	41856	276	151.6521739
Glarus	39385	685	57.49635036
Zug	121819	239	509.7029289
Fribourg	305665	1671	182.9233992
Solothurn	265134	790	335.6126582
Basel-Stadt	187917	37	5078.837838
Basel-Landschaft	281404	518	543.2509653
Schaffhausen	79295	298	266.090604
Appenzell Ausserrhoden	54000	243	222.2222222
Appenzell Innerrhoden	15687	172	91.20348837
St. Gallen	494482	2031	243.4672575
Graubünden	194251	7105	27.34004222
Aargau	654178	1404	465.9387464
Thurgau	267202	992	269.3568548
Ticino	348637	2812	123.9818634
Vaud	767954	3212	239.0890411
Valais	332217	5224	63.59437213
Neuchâtel	175242	802	218.5062344
Genève	466158	282	1653.042553
Jura	71869	839	85.66030989
