Screen Name,Twitter ID,Tweet Count,Follower Count,Favorites Count,Friends Count,Name,Created,Language,Latitude,Longitude,Location,Party,Extension round
beatflach,123362849,548,1028,287,524,Beat Flach,3/15/10 21:26,de,47.4165001,8.1326599,Auenstein,GLP,0
SusanneSlo,332184640,2180,3028,47,268,Leutenegger Oberholz,7/9/11 10:52,de,47.5358009,7.7114401,Augst,SP,0
cedricwermuth,21436172,3098,17052,92,1145,Cédric Wermuth,2/20/09 21:30,de,47.4806865,8.3101137,Baden,SP,0
BARTHASSAT,158049310,1,241,0,0,LUC BARTHASSAT,6/21/10 16:52,fr,46.1490211,6.10425,Bardonnex,CVP,0
d_stolz,915454916,76,293,0,84,Daniel Stolz,10/30/12 20:38,de,47.5674422,7.5975507,Basel,FDP,0
SchenkerSilvia,303319566,1257,761,456,446,Silvia Schenker,5/22/11 17:26,de,47.5674422,7.5975507,Basel,SP,0
alinetrede,264811652,1361,2113,456,743,aline trede,3/12/11 14:05,en,46.9479222,7.4446085,Berne,GPS,0
BDPSchweiz,226841200,425,657,70,216,BDP Schweiz,12/15/10 6:20,de,46.9479222,7.4446085,Berne,BDP,0
ChristaMarkwald,226922317,382,5890,115,1396,Christa Markwalder,12/15/10 12:40,de,46.9479222,7.4446085,Berne,FDP,0
cwasi,50444931,1752,4736,123,2021,Ch. Wasserfallen,6/24/09 21:22,de,46.9479222,7.4446085,Berne,FDP,0
eviallemann,217706717,242,2975,7,446,Evi Allemann,11/20/10 8:36,de,46.9479222,7.4446085,Berne,SP,0
evppev,50961230,387,1568,71,423,EVP Schweiz,6/26/09 7:19,de,46.9479222,7.4446085,Berne,EVP,0
FDP_Liberalen,39250641,1116,4218,0,2407,FDP.Die Liberalen,5/11/09 13:30,de,46.9479222,7.4446085,Berne,FDP,0
grunliberale,22799864,335,4516,1,105,Grünliberale Schweiz,3/4/09 17:02,de,46.9479222,7.4446085,Berne,GLP,0
ignaziocassis,270609583,161,1384,2,61,Ignazio Cassis,3/22/11 23:03,it,46.9479222,7.4446085,Berne,FDP,0
M_Aebischer,280789941,811,5383,4,725,Matthias Aebischer,4/12/11 1:20,de,46.9479222,7.4446085,Berne,SP,0
nmasshardt,1228066279,35,502,0,315,Nadine Masshardt,2/28/13 17:54,de,46.9479222,7.4446085,Berne,SP,0
B_Haeberli,213648250,30,332,0,1,Brigitte Häberli,11/9/10 13:01,de,47.4481888,8.9222498,Bichelsee,CVP,0
Elisabeth_S_S,263582303,356,601,3,217,Elisabeth Schneider,3/10/11 9:45,de,47.5052109,7.5253501,Biel-Benken,CVP,0
Violapamherd,72560162,245,594,4,27,Viola Amherd,9/8/09 14:06,de,46.3128586,7.9818802,Brig,CVP,0
Valerie_Piller,621159422,17,248,0,167,Valérie Piller,6/28/12 17:26,fr,46.8166775,6.7857512,Cheyres,SP,0
RobiPanta,350198606,844,608,74,291,Roberta Pantani,8/7/11 11:03,it,45.8349334,9.0270226,Chiasso,RR,0
NeirynckJ,132904122,0,130,0,0,Jacques Neirynck,4/14/10 13:51,en,46.5254288,6.56113,Ecublens,CVP,0
AloisGmuer,372157087,21,152,0,0,Alois Gmür,9/12/11 7:42,de,47.1281161,8.744269,Einsiedeln,CVP,0
EdithGraf,246714911,54,473,1,153,Edith Graf-Litscher,2/3/11 9:49,de,47.5573039,8.899407,Frauenfeld,SP,0
enussbi,1052528581,696,1018,48,113,Eric Nussbaumer,1/1/13 12:47,de,47.5055008,7.7080898,Frenkendorf,SP,0
DdeBuman,627501106,31,973,0,690,Dominique de Buman,7/5/12 15:56,fr,46.8016663,7.1455683,Fribourg,CVP,0
Juerg_Grossen,463149099,48,669,0,40,Jürg Grossen,1/13/12 19:43,de,46.5878668,7.6497209,Frutigen,GLP,0
